식품명,지역 / 제조사,1회제공량,내용량_단위,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
꿩불고기,충주,500,g,368.8,33.5,8.5,39.7,16.9
닭갈비,전국(대표),400,g,595.61,45.9,25.8,44.9,21.2
닭갈비,춘천,300,g,558.47,45.5,31.6,23.1,8.5
닭꼬치,전국(대표),70,g,176.723,11.562,8.565,13.348,3.152
더덕구이,전국(대표),100,g,184,3.1,5.2,31.1,11.6
도미구이,전국(대표),250,g,397,61.1,16.5,2.1,0
돼지갈비,서울특별시 마포구,100,g,240.32,19.5,14.4,8.1,4.5
병어구이,전국(대표),250,g,488,54.6,30.8,0.2,0
불고기,광양,150,g,395.29,34.4,25.2,7.8,7.9
붕장어소금구이,고흥,100,g,296.54,26,16.2,11.6,0.4
소양념갈비구이,전국(대표),300,g,989.15,60.1,71.6,26.2,13.9
양념왕갈비,수원,150,g,480.81,27.1,35.3,13.7,6.8
양념장어구이,전국(대표),150,g,433.352,30.771,30.561,8.804,4.182
임연수구이,전국(대표),250,g,494,53.8,29.4,3.5,0
짚불구이곰장어,기장,200,g,326.21,42.7,16.2,2.3,1.2
햄버그스테이크,전국(대표),200,g,457.697,26.959,29.646,20.761,5.334
황태구이,전국(대표),200,g,437.57,47.8,15.4,26.9,14.2
훈제오리,전국(대표),250,g,797.14,43.058,64.066,12.078,0.27
게국지,태안,1100,g,415.25,44.9,12.1,31.7,10.8
곰치국,삼척,1000,g,419.29,54.3,11.8,23.9,2.8
굴국밥,전국(대표),650,g,683,42.4,17.8,88.4,0.3
김치국,전국(대표),450,g,89,5.4,2.8,10.5,2.9
떡만둣국,전국(대표),700,g,624.915,20.055,11.319,110.707,0.158
만둣국,전국(대표),700,g,434.05,21.429,17.445,47.832,3.048
맑은감자국,전국(대표),700,g,221,8.3,5.5,34.6,5.2
매생이국,장흥,500,g,119,10,2.8,13.4,0.4
무된장국,전국(대표),450,g,104,6.1,2.4,14.7,5.9
미소된장국,전국(대표),150,g,38,2.8,1.8,2.8,0.7
바지락조개국,전국(대표),550,g,157,22,3.1,10.1,1.3
뼈다귀해장국,전국(대표),1000,g,714,74.6,35.7,23.4,5.7
선지해장국,전국(대표),1000,g,312,49.3,5.4,16.7,3.9
소고기무국,전국(대표),400,g,123,14.2,4,7.8,3.5
소고기미역국,전국(대표),650,g,151,18.1,5.3,7.7,0
순대국,전국(대표),800,g,540.298,43.523,33.018,17.261,0
시래기된장국,전국(대표),450,g,99,6.7,3.1,11,1.3
올갱이국,괴산,600,g,144.26,13.7,4.2,13,1.6
우거지해장국,전국(대표),600,g,154.38,11.9,5.9,13.5,2.5
우렁된장국,전국(대표),500,g,245,24.6,7.7,19.2,3.6
탕국,전국(대표),250,g,92.152,13.181,4.272,0.244,0.078
홍합미역국,전국(대표),650,g,167,19.7,4.7,11.6,0
황태해장국,전국(대표),600,g,181.7,24.5,6.8,5.7,1.5
고추잡채,전국(대표),200,g,256.769,10.994,12.013,26.171,2.092
난자완스,전국(대표),200,g,346.249,21.627,20.35,19.149,0.495
도토리묵말이,대전,1300,g,462.39,6.8,8.5,89.7,6.3
라조기,전국(대표),200,g,398.993,20.659,23.491,26.234,0.15
물회,포항,700,g,529.36,34.4,18.9,55.3,20
생선물회,전국(대표),800,g,577.97,34.3,12.3,82.5,52
소고기샤브샤브,전국(대표),600,g,263.75,29.1,9.8,14.7,2.4
오징어순대,속초,350,g,466.86,45.7,5.6,58.3,0.4
초당순두부,강릉,900,g,522.69,49.1,29.2,15.8,0.9
해파리냉채,전국(대표),150,g,91,6.2,1.4,13.4,11.4
고들빼기,전국(대표),50,g,55.525,1.58,0.608,10.934,2.844
열무얼갈이김치,전국(대표),50,g,17.684,1.074,0.328,2.608,0.456
미나리나물,전국(대표),50,g,29.534,1.016,1.833,2.242,0
취나물,전국(대표),50,g,74.1,1.375,6.153,3.306,0
콩나물,전국(대표),50,g,25.344,1.68,1.65,0.944,0.02
경단(깨),전국(대표),100,g,319.466,4.442,0.536,74.219,26.64
경단(콩),전국(대표),100,g,314.324,3.513,0.461,74.031,20.55
기피편,전국(대표),100,g,219.967,5.449,0.247,48.988,2.084
녹두시루떡,전국(대표),100,g,246.07,7.738,2.534,48.077,4.048
메밀전병,전국(대표),100,g,167.827,6.185,6.289,21.62,0.619
무지개떡,전국(대표),100,g,228.974,3.53,0.312,53.011,8.985
송편(깨),전국(대표),100,g,224.146,4.925,2.735,44.957,1.146
송편(콩),전국(대표),100,g,194.334,5.237,0.749,41.661,1.261
수수부꾸미,전국(대표),100,g,247.892,5.729,6.287,42.099,0.235
수수팥떡,전국(대표),100,g,204.241,6.696,0.591,43.034,2.818
시루떡,전국(대표),100,g,217.481,5.466,0.607,47.539,3.222
쑥떡,전국(대표),100,g,248.635,3.359,0.404,57.889,10.725
절편,전국(대표),100,g,192.886,3.642,0.285,43.938,0.07
찹쌀떡,전국(대표),100,g,276.866,3.265,0.153,65.609,17.542
간자장,전국(대표),650,g,824.539,22.334,22.034,134.224,12.159
굴짬뽕,전국(대표),900,g,680.672,32.869,9.605,115.688,1.697
기스면,전국(대표),1000,g,606.931,37.819,10.724,89.785,0.504
김치라면,전국(대표),650,g,552,13.8,16.9,86.2,1.2
김치우동,전국(대표),800,g,500.177,15.548,4.601,99.144,2.128
냉김치말이국수,전국(대표),600,g,302.53,12.9,4.8,52,8.3
닭칼국수,전국(대표),900,g,663,42.2,12.8,94.7,5.3
둘깨칼국수,전국(대표),600,g,457.88,17.6,16.5,59.8,1.4
막국수,평창,1000,g,571.59,20,5.8,109.8,9.4
삼선우동,전국(대표),1000,g,691.656,47.939,8.478,105.9,0.801
삼선자장면,전국(대표),700,g,803.898,33.638,18.135,126.533,10.152
삼선짬뽕,전국(대표),900,g,662.366,39.626,10.77,101.733,1.093
쌀국수,전국(대표),600,g,320.32,15.6,4.2,55.1,4.3
열무김치국수,전국(대표),800,g,431,15,10.2,69.6,18.6
열무냉면,전국(대표),800,g,525.492,20.842,5.783,97.52,27.146
오일소스스파게티,전국(대표),400,g,646.736,19.555,23.426,89.42,1.411
올갱이국수,정선,1500,g,566,11.2,8.3,111.6,18.6
우동(일식),전국(대표),700,g,421.514,13.39,7.906,74.199,2.483
우동(중식),전국(대표),1000,g,648.471,29.452,21.022,85.366,1.099
울면,전국(대표),1000,g,728.857,37.455,7.369,128.178,0.502
자장면,전국(대표),650,g,796.503,19.771,20.321,133.631,7.795
짬뽕라면,전국(대표),750,g,689,21.3,26.3,92,1.6
치즈라면,전국(대표),600,g,595,16.8,23,80,0.9
크림소스스파게티,전국(대표),400,g,837.57,21.794,50.594,73.763,9.173
토마토소스스파게티,전국(대표),500,g,642.583,24.349,19.152,93.204,15.598
해물칼국수,전국(대표),900,g,628.262,22.803,4.605,123.901,3.808
해물크림소스스파게티,전국(대표),500,g,917.569,30.394,49.789,86.973,8.356
해물토마토소스스파게티,전국(대표),500,g,584.438,27.974,13.73,87.243,13.483
골뱅이무침,전국(대표),100,g,108.792,7.081,1.966,15.693,10.465
노각무침,전국(대표),150,g,84,2.6,1.8,14.3,7.1
단무지무침,전국(대표),50,g,20,0.5,0.8,2.8,0.7
달래나물무침,전국(대표),150,g,136,4,2.8,23.8,11.2
더덕무침,전국(대표),150,g,216,4.3,2.8,43.4,20.2
도토리묵,전국(대표),100,g,45.598,0.292,0.324,10.377,0.433
밴댕이무침,인천,400,g,600.01,29.8,33,46,27
서대회무침,여수,300,g,315.21,22.6,4.6,45.9,22.3
쑥갓나물무침,전국(대표),150,g,96,4.5,5.7,6.6,0.3
우거지나물무침,전국(대표),150,g,129,4.5,8.5,8.7,1.5
쥐치채,전국(대표),20,g,55.917,2.754,0.147,10.895,4.553
청포묵무침,전국(대표),250,g,149,2.9,5.2,22.7,1.8
탕평채,전국(대표),100,g,97.496,3.552,3.807,12.256,0.395
홍어무침,전국(대표),200,g,198.937,17.854,2.634,25.954,14.463
고추장불고기 삼각김밥,전국(대표),100,g,165.289,3.661,1.578,34.112,0.205
곤드레나물밥,정선,350,g,521.83,10.3,9.5,98.9,0
국밥,안성,800,g,418.35,27.6,8.2,58.6,0.4
농어초밥,전국(대표),250,g,396.743,17.433,1.336,78.747,13.008
돼지국밥,밀양,1200,g,911.4,66.4,38.6,74.7,0
류산슬덮밥,전국(대표),550,g,574.992,26.962,19.039,73.947,0.419
멍게비빔밥,거제,400,g,547.21,16.6,13.1,90.7,16.7
멸치주먹밥,전국(대표),150,g,312,9,6.6,54.3,0.9
묵밥,영주,950,g,642.16,14.8,7.7,128.6,15.1
문어초밥,전국(대표),250,g,392.227,14.614,0.74,81.778,13.383
비빔밥,전주,450,g,691.62,24.6,22,98.7,18.3
삼선볶음밥,전국(대표),400,g,686.108,26.237,26.461,85.754,1.582
새우초밥,전국(대표),250,g,387.671,16.804,0.752,78.422,11.654
새우튀김롤,전국(대표),300,g,606.504,14.467,18.168,96.281,11.144
샐러드김밥,전국(대표),250,g,405.948,9.616,13.52,61.451,3.422
생선초밥(광어),전국(대표),300,g,453.777,27.069,3.923,77.547,7.701
생선초밥(모듬),전국(대표),300,g,461.966,25.423,6.061,76.431,8.649
소고기국밥,전국(대표),700,g,330.53,21.8,8.1,42.6,2.8
소고기김밥,전국(대표),250,g,400.609,15.978,9.625,62.518,0.837
송이덮밥,전국(대표),600,g,581.806,18.214,14.06,95.601,2.268
숯불갈비 삼각김밥,전국(대표),100,g,161.243,3.998,1.674,32.547,0.165
약초비빔밥,산청,400,g,511.8,11.9,15.9,80.2,2.9
연어롤,전국(대표),300,g,510.191,18.571,15.404,74.318,8.47
연어초밥,전국(대표),250,g,447.318,18.883,9.738,71.037,12.882
오곡밥,전국(대표),250,g,388.816,11.952,1.303,82.321,0.174
자장밥,전국(대표),500,g,741.66,15.236,22.277,120.057,5.369
잡탕밥,전국(대표),750,g,777.439,44.12,20.135,104.937,0.481
장어덮밥,전국(대표),400,g,716.541,30.088,22.976,97.351,5.586
장어초밥,전국(대표),250,g,486.26,16.52,10.828,80.681,13.674
참치덮밥,전국(대표),500,g,679.101,29.201,16.73,102.931,2.983
참치마요네즈 삼각김밥,전국(대표),100,g,172.397,3.941,3.202,31.953,0.022
충무김밥,전국(대표),400,g,583.926,23.425,5.956,109.156,17.189
캘리포니아롤,전국(대표),300,g,487.639,12.33,9.046,89.227,8.904
한치초밥,전국(대표),250,g,374.18,13.712,0.848,77.923,13.13
해물덮밥,전국(대표),700,g,771.933,42.037,22.443,100.449,1.194
해물볶음밥,전국(대표),400,g,705.217,25.105,26.996,90.459,1.222
회덮밥,전국(대표),500,g,683.018,30.21,16.553,103.3,10.925
깻잎나물볶음,전국(대표),200,g,206,7.5,14.4,11.5,0.6
돼지고기볶음,전국(대표),200,g,350.673,22.961,20.665,18.21,8.201
돼지껍데기볶음,전국(대표),150,g,352,25.8,16.7,24.5,5.5
두부김치,전국(대표),250,g,288.213,19.466,17.115,14.079,1.487
머위나물볶음,전국(대표),150,g,108,3.5,7,7.6,1.8
멸치풋고추볶음,전국(대표),20,g,52.379,4.65,2.239,3.406,1.43
소세지볶음,전국(대표),200,g,471,18.8,29.9,31.8,8.9
순대볶음,전국(대표),400,g,582,20.7,21.3,76.7,5.4
양송이버섯볶음,전국(대표),150,g,136,4.5,8.3,11,1.2
오삼불고기,전국(대표),200,g,363,25.6,19.9,20.5,7.6
주꾸미볶음,전국(대표),200,g,211.413,18.326,5.201,22.825,5.06
표고버섯볶음,전국(대표),150,g,142,4.5,6.7,15.8,2.6
해물볶음,전국(대표),400,g,419.06,38.2,15.3,32.2,7.4
곰보빵,전국(대표),70,g,277.336,6.313,9.273,42.157,11.731
만주,전국(대표),70,g,222.494,5.13,1.64,46.803,22.451
버터크림빵,전국(대표),60,g,229.957,4.905,11.043,27.736,7.194
불고기피자,전국(대표),200,g,505,27.4,16.7,61.2,9.2
참치샌드위치,전국(대표),250,g,555,23.3,35.1,36.5,10.1
찹쌀도우넛,전국(대표),70,g,207.047,3.526,3.682,39.952,12.126
채소고로케,전국(대표),100,g,300.653,7.125,16.378,31.187,3.369
초콜릿케이크,전국(대표),100,g,420.243,5.315,24.955,43.597,23.129
치즈케이크,전국(대표),100,g,329.145,7.225,20.632,28.638,15.276
치즈피자,전국(대표),200,g,553,31.4,15.8,71.2,6.8
페이스트리빵,전국(대표),70,g,319.59,5.992,18.396,32.516,5.749
페퍼로니피자,전국(대표),200,g,532,29.4,14.8,70.3,7.5
포테이토피자,전국(대표),250,g,628,28,25.5,71.6,8.5
수정과,전국(대표),150,g,133.004,0.597,5.474,20.337,20.685
식혜,전국(대표),150,g,130.137,2.302,2.628,24.319,17.04
간장마늘쫑장아찌,전국(대표),50,g,30,1,0.5,5.4,3.9
고추장마늘쫑장아찌,전국(대표),50,g,55,1.3,0.9,10.5,5.6
매실장아찌,전국(대표),30,g,72.879,0.496,0.129,17.432,11.448
무장아찌,전국(대표),30,g,23.923,0.441,0.227,5.029,2.885
계적,전국(대표),250,g,488.084,57.721,30.429,0,0
낙지꼬지,전국(대표),80,g,75.354,13.14,1.276,2.828,0
돔베기적,전국(대표),100,g,159.486,30.077,7.417,0,0.004
소고기산적,전국(대표),200,g,453.075,48.41,25.568,7.331,0
소라산적,전국(대표),80,g,120.1,17.922,2.512,6.451,0.85
오징어산적,전국(대표),80,g,101.709,17.375,1.977,3.603,0.916
홍어적,전국(대표),100,g,89.153,23.592,0.66,0,0.283
홍합산적,전국(대표),80,g,156.665,17.782,4.804,10.576,3.338
가자미전,전국(대표),150,g,230.282,25.76,11.065,6.915,0.305
고추전,전국(대표),150,g,274.689,12.91,17.223,17.01,2.17
굴전,전국(대표),100,g,195,10.6,10.5,14.5,1.3
깻잎전,전국(대표),150,g,361.099,17.736,25.776,14.543,1.061
녹두빈대떡,전국(대표),100,g,207.942,7.945,10.27,20.934,0.101
동그랑땡(육원전),전국(대표),150,g,309.2,19.618,20.001,12.681,0.979
동태전,전국(대표),150,g,268.045,22.636,15.04,10.536,0.218
두부전,전국(대표),150,g,254.643,20.458,15.868,7.499,0.025
미나리전,전국(대표),150,g,226.413,5.239,7.617,34.227,1.74
배추전,전국(대표),150,g,240.746,5.166,8.669,35.515,5.02
버섯전,전국(대표),150,g,240.687,10.524,14.868,16.194,2.739
야채전,전국(대표),100,g,194,5.4,9.5,21.6,2.4
파전,전국(대표),150,g,292.799,6.834,14.026,34.807,0.787
햄부침,전국(대표),100,g,244,11.3,17.1,11.3,1
호박부침개,전국(대표),100,g,129,3.9,8.1,10.1,3.6
호박전,전국(대표),150,g,208.104,6.478,13.09,16.096,2.847
화양적,전국(대표),150,g,272.647,13.582,14.77,21.347,1.209
가자미조림,전국(대표),300,g,297.98,37.1,7.1,21.5,10.5
고추조림,전국(대표),100,g,111,3.3,4.9,13.4,7.1
동태조림,전국(대표),250,g,276,40.8,4.7,17.4,10.2
돼지고기메추리알장조림,전국(대표),50,g,63.492,8.336,1.851,3.372,1.273
북어조림,전국(대표),100,g,181.86,20.826,3.331,17.143,8.203
소고기메추리알장조림,전국(대표),50,g,60.652,8.137,1.842,2.883,0.715
조기조림,전국(대표),300,g,384,41.1,18.8,12.8,4.5
게살죽,전국(대표),800,g,564.83,17.898,7.095,107.346,0.171
깨죽,전국(대표),800,g,515.348,13.656,15.944,79.305,3.589
백합죽,부안,700,g,455.28,16.5,5.6,84.7,0
소고기버섯죽,전국(대표),800,g,578.278,18.747,7.465,109.026,0.262
어죽,영동,800,g,552.06,20.4,7.5,100.8,9.8
잣죽,전국(대표),700,g,874.482,19.179,19.629,155.275,2.362
참치죽,전국(대표),800,g,659.599,24.194,16.062,104.566,1.36
고등어찌개,전국(대표),600,g,601.62,48.9,33.7,25.6,7.4
김치찌개,전국(대표),400,g,243.032,15.069,15.005,11.929,3.025
꽁치찌개,전국(대표),300,g,355,24,23.3,12.2,5.9
두부전골,전국(대표),500,g,315.16,25.6,16.1,17.1,3.5
버섯찌개,전국(대표),400,g,167.56,14.7,5.2,15.4,4.4
부대찌개,의정부,600,g,399.5,18.4,18.6,39.7,6.2
새우젓두부찌개,전국(대표),300,g,166,16.2,8.1,7.2,1.7
소곱창전골,전국(대표),600,g,529,41.6,27.3,29.2,2.3
햄김치찌개,전국(대표),300,g,189,11.1,10.4,12.7,3.6
호박찌개,전국(대표),300,g,95,5.6,2.6,12.2,5.8
대구찜,전국(대표),500,g,376.42,51.7,7.9,24.7,5.7
도미찜,전국(대표),100,g,125.506,22.996,3.485,0.54,0
동태찜,전국(대표),500,g,394.32,50.9,9.7,25.8,5.7
돼지등갈비찜,전국(대표),450,g,961.04,72.1,49.2,57.4,24.1
돼지머리고기,전국(대표),200,g,650,42.4,52,3.5,0.1
매운갈비찜,대구광역시 중구,300,g,517.44,61.3,19.7,23.7,10.7
문어숙회,전국(대표),80,g,66.914,14.862,0.505,0.73,0
민어찜,전국(대표),100,g,136.878,21.474,5.914,0,0
병어찜,전국(대표),100,g,179.688,18.857,11.515,0.157,0
북어찜,전국(대표),150,g,235,28.1,5.7,18,6.4
붕어찜,광주,1100,g,835.6,54.3,36.9,71.6,16.2
소갈비찜,전국(대표),250,g,494.599,49.86,26.956,13.138,4.317
순대 ,전국(대표),300,g,542.415,19.561,25.636,58.362,3.499
아구찜,전국(대표),400,g,310.871,48.302,5.309,17.471,0.689
아구찜,마산,750,g,492.32,65.4,6.5,43.1,8.2
안동찜닭,안동,1500,g,1364.21,114.2,38.8,139.5,66.8
전어찜,전국(대표),100,g,278.218,17.275,22.97,0.597,0
조기찜,전국(대표),100,g,182.118,20.058,10.59,1.642,0
참꼬막,전국(대표),80,g,90.787,12.472,2.503,4.592,0
한방오리백숙,전국(대표),300,g,469.532,68.79,20.104,3.358,0.351
해물찜,전국(대표),500,g,400.08,42.6,9.8,35.4,5.5
홍어찜,전국(대표),250,g,202.669,47.12,1.034,1.221,1.221
갈낙탕,영암,400,g,261.77,35.8,12.8,0.8,1.3
곰탕,나주,300,g,183.25,19.4,3.7,18.1,0.5
광어매운탕,전국(대표),600,g,419.793,58.417,16.621,9.133,1.421
낙지탕,전국(대표),600,g,187.8,29.4,3.2,10.4,1.9
대구매운탕,전국(대표),600,g,361.747,57.361,7.214,16.844,1.094
대구지리탕,전국(대표),600,g,262.02,41.6,6.2,9.9,1.5
메기매운탕,전국(대표),600,g,400,28.6,10.2,48.6,5.7
복지리탕,전국(대표),600,g,232.05,41.7,2.7,10.3,1.4
소탕,전국(대표),150,g,86.369,7.657,5.35,1.898,0.029
아구탕,전국(대표),600,g,246.07,37.8,4.9,12.8,1.8
어탕,전국(대표),150,g,85.87,12.699,3.09,1.817,0
연포탕,전국(대표),1000,g,541.644,94.902,9.03,20.191,0.228
우럭매운탕,전국(대표),600,g,406.816,52.146,17.032,11.235,1.079
육탕,전국(대표),150,g,87.633,12.661,3.954,0.351,0
전복탕,전국(대표),600,g,196.85,26.8,3,15.8,1.3
조기매운탕,전국(대표),600,g,384.38,35.1,19.4,17.3,4.3
짱뚱어탕,순천,600,g,188.77,11.5,8.5,16.6,2.4
추어탕,남원,1000,g,316.72,22.7,13.2,26.8,0
해물탕,전국(대표),600,g,267.81,39.8,4.7,16.6,0.8
고구마맛탕,전국(대표),200,g,491,3.3,11,94.6,38.7
고구마튀김,전국(대표),100,g,252.964,2.723,11.874,33.802,7.715
고추튀김,전국(대표),100,g,202,7.6,12.6,14.6,2.3
닭튀김,전국(대표),300,g,903,65.2,49.7,48.8,1.5
등심돈가스,전국(대표),200,g,623.828,32.992,37.545,38.489,3.66
모래집튀김,대구광역시 중구,150,g,468.37,28.1,26.6,29.1,1.8
미꾸라지튀김,전국(대표),100,g,387.487,10.887,25.391,28.855,0.304
생선까스,전국(대표),200,g,653.441,24.334,41.096,46.56,1.958
안심돈가스,전국(대표),200,g,651.755,33.281,42.402,34.253,2.772
양념치킨,전국(대표),200,g,552,35.5,26.8,42.3,12.5
쥐포튀김,전국(대표),100,g,356.912,9.617,16.493,42.502,7.962
치즈돈가스,전국(대표),250,g,755.369,42.02,46.693,41.764,3.57
치킨까스,전국(대표),200,g,592.998,27.913,33.918,44.021,4.154
대구포,전국(대표),100,g,140.842,31.966,0.404,2.335,0
북어포,전국(대표),20,g,66.463,15.423,0.389,0.317,0.221
매작과,전국(대표),30,g,123.861,2.254,3.946,19.833,4.927
산자,전국(대표),30,g,109.711,0.693,0.926,24.652,9.404
송화다식,전국(대표),30,g,110.827,2.489,1.345,22.192,7.996
약과,전국(대표),30,g,119.731,1.259,1.425,25.467,5.066
유과,전국(대표),30,g,127.091,0.842,3.85,22.269,7.244
글램핑 바비큐(오리지널 L),도미노피자,157,g,410,17,0,0,10
글램핑 바비큐(나폴리M),도미노피자,127,g,328,15,0,0,8
글램핑 바비큐(나폴리L),도미노피자,126,g,312,16,0,0,10
글램핑 바비큐(씬 M),도미노피자,105,g,266,13,0,0,8
글램핑 바비큐(씬 L),도미노피자,103,g,273,13,0,0,9
글램핑 바비큐(슈퍼시드 함유 도우M),도미노피자,172,g,485,24,0,0,14
글램핑 바비큐(슈퍼시드 함유 도우L),도미노피자,156,g,392,19,0,0,11
글램핑 바비큐 더블치즈엣지(오리지널 M),도미노피자,129,g,330,16,0,0,10
글램핑 바비큐 더블치즈엣지(오리지널 L),도미노피자,196,g,489,25,0,0,11
더블크러스트 이베리코(더블 크러스트 L),도미노피자,152,g,387,19,0,0,9
더블크러스트 이베리코(더블 크러스트 M),도미노피자,130,g,345,12,0,0,10
리얼불고기(오리지널 L),도미노피자,164,g,420,14,0,0,14
리얼불고기(오리지널 M),도미노피자,115,g,280,13,0,0,5
리얼불고기(나폴리L),도미노피자,130,g,334,16,0,0,5
리얼불고기(나폴리M),도미노피자,181,g,430,23,0,0,8
리얼불고기(씬 L),도미노피자,149,g,365,20,0,0,6
리얼불고기(씬 M),도미노피자,139,g,396,22,0,0,6
리얼불고기(슈퍼시드 함유 도우L),도미노피자,111,g,313,15,0,0,5
리얼불고기(슈퍼시드 함유 도우M),도미노피자,116,g,292,14,0,0,6
리얼불고기 더블치즈엣지(오리지널 L),도미노피자,133,g,344,17,0,0,7
리얼불고기 더블치즈엣지(오리지널 M),도미노피자,144,g,350,18,0,0,4
문어밤 슈림프(오리지널 L),도미노피자,170,g,428,21,0,0,5
문어밤 슈림프(오리지널 M),도미노피자,117,g,280,15,0,0,7
문어밤 슈림프(나폴리L),도미노피자,143,g,323,18,0,0,7
문어밤 슈림프(나폴리M),도미노피자,186,g,430,22,0,0,11
문어밤 슈림프(씬 L),도미노피자,111,g,254,15,0,0,7
문어밤 슈림프(씬 M),도미노피자,153,g,389,20,0,0,11
문어밤 슈림프(슈퍼시드 함유 도우L),도미노피자,130,g,333,19,0,0,8
문어밤 슈림프(슈퍼시드 함유 도우M),도미노피자,118,g,280,16,0,0,9
문어밤 슈림프 더블치즈엣지(오리지널 L),도미노피자,143,g,322,17,0,0,10
문어밤 슈림프 더블치즈엣지(오리지널 M),도미노피자,144,g,347,18,0,0,6
베스트 콰트로(오리지널 L),도미노피자,186,g,460,25,0,0,8
베스트 콰트로(오리지널 M),도미노피자,134,g,312,13,0,0,6
베스트 콰트로(나폴리L),도미노피자,157,g,387,18,0,0,8
베스트 콰트로(나폴리M),도미노피자,107,g,259,12,0,0,5
베스트 콰트로(씬 L),도미노피자,129,g,306,15,0,0,7
베스트 콰트로(씬 M),도미노피자,181,g,457,19,0,0,9
베스트 콰트로(슈퍼시드 함유 도우L),도미노피자,112,g,274,12,0,0,6
베스트 콰트로(슈퍼시드 함유 도우M),도미노피자,132,g,322,13,0,0,12
베스트 콰트로 더블치즈엣지(오리지널 L),도미노피자,159,g,393,17,0,0,13
베스트 콰트로 더블치즈엣지(오리지널 M),도미노피자,160,g,384,19,0,0,7
베이컨체더치즈(오리지널 L),도미노피자,194,g,455,23,0,0,7
베이컨체더치즈(오리지널 M),도미노피자,114,g,311,14,0,0,4
베이컨체더치즈(나폴리L),도미노피자,129,g,356,18,0,0,5
베이컨체더치즈(나폴리M),도미노피자,176,g,465,24,0,0,5
베이컨체더치즈(씬 L),도미노피자,143,g,382,21,0,0,5
베이컨체더치즈(씬 M),도미노피자,147,g,437,22,0,0,4
베이컨체더치즈(슈퍼시드 함유 도우L),도미노피자,125,g,377,19,0,0,4
베이컨체더치즈(슈퍼시드 함유 도우M),도미노피자,113,g,307,14,0,0,6
베이컨체더치즈 더블치즈엣지(오리지널 L),도미노피자,129,g,355,17,0,0,7
베이컨체더치즈 더블치즈엣지(오리지널 M),도미노피자,135,g,364,18,0,0,4
불고기(오리지널 L),도미노피자,158,g,436,21,0,0,5
불고기(오리지널 M),도미노피자,121,g,291,15,0,0,6
불고기(나폴리L),도미노피자,129,g,319,16,0,0,6
불고기(나폴리M),도미노피자,177,g,421,2,0,0,7
불고기(씬 L),도미노피자,102,g,250,14,0,0,4
불고기(씬 M),도미노피자,162,g,394,22,0,0,8
불고기(슈퍼시드 함유 도우L),도미노피자,125,g,312,18,0,0,6
불고기(슈퍼시드 함유 도우M),도미노피자,121,g,301,15,0,0,8
불고기 더블치즈엣지(오리지널 L),도미노피자,134,g,342,16,0,0,8
불고기 더블치즈엣지(오리지널 M),도미노피자,139,g,350,18,0,0,5
블랙앵거스 스테이크(오리지널 L),도미노피자,158,g,405,21,0,0,6
블랙앵거스 스테이크(오리지널 M),도미노피자,126,g,307,14,0,0,7
블랙앵거스 스테이크(나폴리L),도미노피자,160,g,383,17,0,0,10
블랙앵거스 스테이크(나폴리M),도미노피자,103,g,248,12,0,0,7
블랙앵거스 스테이크(씬 L),도미노피자,121,g,296,14,0,0,8
블랙앵거스 스테이크(씬 M),도미노피자,169,g,459,20,0,0,11
블랙앵거스 스테이크(슈퍼시드 함유 도우L),도미노피자,103,g,266,12,0,0,7
블랙앵거스 스테이크(슈퍼시드 함유 도우M),도미노피자,126,g,301,14,0,0,9
블랙앵거스 스테이크 더블치즈엣지(오리지널 L),도미노피자,158,g,369,17,0,0,13
블랙앵거스 스테이크 더블치즈엣지(오리지널 M),도미노피자,156,g,388,19,0,0,8
블랙타이거 슈림프(오리지널 L),도미노피자,198,g,488,23,0,0,11
블랙타이거 슈림프(오리지널 M),도미노피자,123,g,288,13,0,0,8
블랙타이거 슈림프(나폴리M),도미노피자,191,g,453,20,0,0,14
블랙타이거 슈림프(나폴리L),도미노피자,159,g,358,18,0,0,13
블랙타이거 슈림프(씬 M),도미노피자,188,g,431,20,0,0,16
블랙타이거 슈림프(씬 L),도미노피자,125,g,308,14,0,0,12
블랙타이거 슈림프(슈퍼시드 함유 도우L),도미노피자,157,g,403,18,0,0,16
블랙타이거 슈림프 더블치즈엣지(오리지널 L),도미노피자,118,g,290,13,0,0,10
블랙타이거슈림프(슈퍼시드 함유 도우M),도미노피자,144,g,363,18,0,0,9
블랙타이거슈림프 더블치즈엣지(오리지널 M),도미노피자,193,g,468,21,0,0,18
슈퍼디럭스(오리지널 L),도미노피자,248,g,625,32,0,0,15
슈퍼디럭스(오리지널 M),도미노피자,134,g,307,17,0,0,3
슈퍼디럭스(나폴리L),도미노피자,150,g,386,19,0,0,4
슈퍼디럭스(나폴리M),도미노피자,107,g,251,12,0,0,3
슈퍼디럭스(씬 L),도미노피자,118,g,282,15,0,0,3
슈퍼디럭스(씬 M),도미노피자,186,g,450,24,0,0,4
슈퍼디럭스(슈퍼시드 함유 도우L),도미노피자,155,g,393,20,0,0,4
슈퍼디럭스(슈퍼시드 함유 도우M),도미노피자,133,g,332,14,0,0,3
슈퍼디럭스 더블치즈엣지(오리지널 L),도미노피자,149,g,373,16,0,0,5
슈퍼디럭스 더블치즈엣지(오리지널 M),도미노피자,159,g,359,19,0,0,3
슈퍼슈프림(오리지널 L),도미노피자,188,g,452,24,0,0,3
