모짜렐라 치즈,28,g,85,7.27,5.61,1.07
당면,25,g,90,0,0,22
납작 당면,25,g,85,0,0,21
중국 당면,1,줄,55,0,0,14.1
치즈떡,100,g,215,5,3,42
납작만두,1,개,49,1.26,0.66,9.43
만두(작은),1,개,22,0.59,0.58,3.64
우동사리,1,봉,295,9,0.9,62
라면사리,1,봉,485,9,16,76
메추리알,1,개,14,1.17,1,0.04
햄,1,슬라이스,25,3,1.2,1
베이컨,1,슬라이스,27,1.85,2.09,0.07
삶은 계란,1,개,77,6.26,5.28,0.56
비엔나 소시지,30,g,85,4,7,2
